"ISO8601","test","status","detail"
"2026-09-19T01:19:10","lapIdentity exact, Dirichlet","PASS","lapIdentity = 0."
"2026-09-19T01:19:10","lapIdentity exact, Neumann","PASS","lapIdentity = 0."
"2026-09-19T01:19:10","consA / consAT / consQ at round-off","PASS","max = 9.853229343548264e-16"
"2026-09-19T01:19:10","canonical: total rho-rho covariance = 0","PASS","sum = -1.5077186461126546e-19"
"2026-09-19T01:19:10","advection identity, Dirichlet","PASS","rel = 3.3081870576201152e-12"
"2026-09-19T01:19:10","advection identity, Neumann","PASS","rel = 4.130168429476093e-12"
"2026-09-19T01:19:10","W matches exact finite box (uncal.), Dirichlet N=21 l=2.","PASS","rel = 0.0006871461786353653"
"2026-09-19T01:19:10","calibrated matches exact finite box, Dirichlet N=21 l=2.","PASS","rel = 0.0007241204622153928"
"2026-09-19T01:19:10","closed form = exact finite box, Dirichlet N=21 l=2.","PASS","rel = 0."
"2026-09-19T01:19:10","calibrated pedestal = eq:iso-gauss, Dirichlet N=21 l=2.","PASS","boxFactor = 1."
"2026-09-19T01:19:10","W matches exact finite box (uncal.), Dirichlet N=31 l=4.","PASS","rel = 0.0008311734138137369"
"2026-09-19T01:19:10","calibrated matches exact finite box, Dirichlet N=31 l=4.","PASS","rel = 0.0008301375184253012"
"2026-09-19T01:19:10","closed form = exact finite box, Dirichlet N=31 l=4.","PASS","rel = 1.0819986361449435e-15"
"2026-09-19T01:19:10","calibrated pedestal = eq:iso-gauss, Dirichlet N=31 l=4.","PASS","boxFactor = 1."
"2026-09-19T01:19:10","W matches exact finite box (uncal.), Neumann N=21 l=2.","PASS","rel = 0.0006807972697206672"
"2026-09-19T01:19:10","calibrated matches exact finite box, Neumann N=21 l=2.","PASS","rel = 0.0007242480802332353"
"2026-09-19T01:19:10","boxFactor scale-invariant at l/fbox = 0.1","PASS","rel = 0."
"2026-09-19T01:19:10","boxFactor scale-invariant at l/fbox = 0.2","PASS","rel = 0."
"2026-09-19T01:19:10","lNoise < h/Sqrt[2Pi] -> $Failed","PASS","lNoise = 0.6528 < h/Sqrt[2Pi] = 0.7253"
"2026-09-19T01:19:10","...but succeeds on a finer grid","PASS","Nint = 31 gives h/Sqrt[2Pi] = 0.4987"
"2026-09-19T01:19:10","lNoiseEff/lNoise decreasing to 1","PASS","Nint 21..321 -> {1.05436, 1.01304, 1.00333, 1.00085, 1.00021}"
"2026-09-19T01:19:10","large-t asymptote lEff ~ l + h^2/(8 l)","PASS","exact 3.0037618 vs asymptotic 3.00375"
"2026-09-19T01:19:10","w_ss=0 reproduces old module, Dirichlet","PASS","max rel diff in Sigma_rho = 0."
"2026-09-19T01:19:10","w_ss=0 reproduces old module, Neumann","PASS","max rel diff in Sigma_rho = 0."
"2026-09-19T01:19:10","Sigma = pedestal (I - 11^T/N^2) up to dQ","PASS","max rel dev = 0.0008691968498653256  (dQ coupling)"
